gate,strategy,window,n_months,rf_fallback_share,Sharpe_exBIL,memo_exBIL,audit_exact_exBIL,Sharpe_rf0_legacy,memo_rf0,in_memo,reproduces,note
Spectral RP (name),Spectral RP,2021-04..2026-08,65,0.000000,0.296530,0.30,0.296500,1.057101,1.06,True,True,
Spectral RP (name),ERC,2021-04..2026-08,65,0.000000,0.307497,0.31,0.307500,0.979400,0.98,True,True,
Spectral RP (name),LW MinVar,2021-04..2026-08,65,0.000000,-0.246162,-0.25,-0.246200,1.597696,1.60,True,True,
Spectral RP (name),EW,2021-04..2026-08,65,0.000000,0.549730,0.55,0.549700,0.827599,0.83,True,True,
Regime-Aware dual,always_calm,2004-11..2026-08,262,0.118321,0.430273,,,0.534235,,False,,
Regime-Aware dual,k2_vol_corr_erc,2004-11..2026-08,262,0.118321,0.365635,,,0.502342,,False,,
Regime-Aware dual,k2_vol_corr_ew,2004-11..2026-08,262,0.118321,0.434537,,,0.522939,,False,,
Regime-Aware dual,k2_vol_corr_spread_erc,2004-11..2026-08,262,0.118321,0.373534,,,0.509706,,False,,
Regime-Aware dual,best conditional (k2_vol_corr_spread_ew),2004-11..2026-08,262,0.118321,0.442080,0.44,0.442100,0.530098,0.53,True,True,
Regime-Aware dual,uncond ERC,2004-11..2026-08,262,0.118321,0.542773,0.54,0.542800,0.741564,0.74,True,True,
Regime-Aware dual,uncond EW,2004-11..2026-08,262,0.118321,0.596451,0.60,0.596500,0.698644,,True,True,
#13 VCFC (first trial),method,2021-05..2026-09,65,0.000000,0.510669,0.51,0.510700,0.780479,0.78,True,True,
#13 VCFC (first trial),Book-2 VT,2021-05..2026-09,65,0.000000,0.673574,0.67,0.673600,0.874679,0.88,True,False,memo prints Sharpe_rf0 0.88; the audit script's own stats give 0.8747 (rounds to 0.87) and the helper gives 0.8747. Memo rounding typo on the legacy figure only; Sharpe_exBIL 0.6736 matches to 1e-4.
#13 VCFC (first trial),Option A static,2021-05..2026-09,65,0.000000,0.641735,,,0.807343,,False,,
#13 VCFC (first trial),EW sleeves,2021-05..2026-09,65,0.000000,0.367816,,,0.579581,,False,,
#4 FT-MED,method,2002-07..2026-09,291,0.202749,0.358380,0.36,0.358400,0.357714,0.36,True,True,
#4 FT-MED,EW,2002-07..2026-09,291,0.202749,0.523961,0.52,0.524000,0.609932,0.61,True,True,
#4 FT-MED,LW MinVar,2002-07..2026-09,291,0.202749,0.366252,0.37,0.366300,0.595145,0.60,True,True,
#4 FT-MED,ERC,2002-07..2026-09,291,0.202749,0.521666,0.52,0.521700,0.692558,0.69,True,True,
#4 FT-MED,LW MVO,2002-07..2026-09,291,0.202749,0.557373,0.56,0.557400,0.690172,0.69,True,True,
#3 RR-ERC Path B,Path B,2003-06..2026-09,280,0.171429,0.664693,0.665,0.664700,0.869158,0.869,True,True,
#3 RR-ERC Path B,uncond ERC,2003-06..2026-09,280,0.171429,0.661832,0.662,0.661800,0.865898,0.866,True,True,
#3 RR-ERC Path B,EW,2003-06..2026-09,280,0.171429,0.595081,,,0.694588,,False,,
#3 RR-ERC Path B,LW MinVar,2003-06..2026-09,280,0.171429,0.642407,0.642,0.642400,0.943634,0.944,True,True,
#6 skew gate-first (live Book 2),VT x gate-first,2021-02..2026-09,68,0.000000,0.966371,0.966,0.966400,1.279787,1.280,True,True,
#6 skew gate-first (live Book 2),Book-2 VT (BIL priced),2021-02..2026-09,68,0.000000,0.839358,0.839,0.839400,1.059098,1.059,True,True,
#6 skew gate-first (live Book 2),Option A static,2021-02..2026-09,68,0.000000,0.750934,0.75,0.750900,0.924292,,True,True,
#6 skew gate-first (live Book 2),EW,2021-02..2026-09,68,0.000000,0.590661,,,0.896906,,False,,
#6 skew gate-first (live Book 2),MinVar,2021-02..2026-09,68,0.000000,0.130426,0.13,0.130400,1.031611,1.03,True,True,
#6 skew gate-first (live Book 2),ERC,2021-02..2026-09,68,0.000000,0.588262,,,1.054737,,False,,
Book-2 VT committed run (cash = 0 proxy),Book-2 VT,2021-02..2026-09,68,0.000000,0.827407,0.83,0.827400,1.045591,,True,True,
Book-2 VT committed run (cash = 0 proxy),Option A static,2021-02..2026-09,68,0.000000,0.750934,0.75,0.750900,0.924292,,True,True,
