date,IC,n_names,decision_month_end,IC_mean_expanding
2010-12-31,-0.40583972495671394,6,2010-12-31,-0.40583972495671394
2011-01-31,0.0,6,2011-01-31,-0.20291986247835697
2011-02-28,-0.7944613465542746,6,2011-02-28,-0.4001003571703295
2011-03-31,-0.23190841426097938,6,2011-03-31,-0.35805237144299196
2011-04-29,-0.9121593238215745,6,2011-04-29,-0.46887376191870855
2011-05-31,0.20291986247835697,6,2011-05-31,-0.3569081578525309
2011-06-30,0.5217939320872036,6,2011-06-30,-0.23137928786114026
2011-07-29,0.11595420713048969,6,2011-07-29,-0.1879626009871865
2011-08-31,0.3188740696088466,6,2011-08-31,-0.13164741536540506
2011-09-30,-0.46381682852195877,6,2011-09-30,-0.16486435668106042
2011-10-31,0.2898855178262242,6,2011-10-31,-0.12352345899858
2011-11-30,0.8406680016960503,6,2011-11-30,-0.04317417060736082
2011-12-30,-0.17393131069573456,6,2011-12-30,-0.05323241215262034
2012-01-31,-0.6087595874350709,6,2012-01-31,-0.09291292467279537
2012-02-29,0.6087595874350709,6,2012-02-29,-0.04613475719893763
2012-03-30,0.5797710356524484,6,2012-03-30,-0.007015645145726002
2012-04-30,0.5797710356524484,6,2012-04-30,0.027501218430637197
2012-05-31,0.2898855178262242,6,2012-05-31,0.04207812395261425
2012-06-29,0.753702346348183,6,2012-06-29,0.0795320303944863
2012-07-31,-0.3768511731740915,6,2012-07-31,0.0567128702160574
2012-08-31,0.3768511731740915,6,2012-08-31,0.07195755130929712
2012-09-28,-0.2942449431682498,6,2012-09-28,0.055311983378499525
2012-10-31,0.5507824838698261,6,2012-10-31,0.07685417905203548
2012-11-30,-0.7356123579206245,6,2012-11-30,0.04300140667817464
2012-12-31,0.11595420713048969,6,2012-12-31,0.045919518696267245
2013-01-31,-0.17393131069573456,6,2013-01-31,0.03746371756580563
2013-02-28,0.3768511731740915,6,2013-02-28,0.050033623329075474
2013-03-28,0.8116794499134279,6,2013-03-28,0.07723525999280234
2013-04-30,-0.23190841426097938,6,2013-04-30,0.06657513329439609
2013-05-31,-0.3768511731740915,6,2013-05-31,0.05179425641211317
2013-06-28,0.11595420713048969,6,2013-06-28,0.053863932241738216
2013-07-31,0.11118739749916519,7,2013-07-31,0.055655290531032804
2013-08-30,0.2594372608313854,7,2013-08-30,0.06183050175225561
2013-09-30,0.037062465833055065,7,2013-09-30,0.06110203010757325
2013-10-31,-0.22237479499833038,7,2013-10-31,0.053002692247404566
2013-11-29,-0.555936987495826,7,2013-11-29,0.03608770114342594
2013-12-31,-0.14824986333222026,7,2013-12-31,0.031105604806246315
2014-01-31,-0.2964997266644405,7,2014-01-31,0.022484411872807187
2014-02-28,-0.22237479499833038,7,2014-02-28,0.016205970670983148
2014-03-31,0.3335621924974956,7,2014-03-31,0.024139876216645956
2014-04-30,-0.14824986333222026,7,2014-04-30,0.01993524842277117
2014-05-30,-0.2594372608313854,7,2014-05-30,0.013283522011957918
2014-06-30,-0.22454435656953595,7,2014-06-30,0.007752641114713875
2014-07-31,-0.14824986333222026,7,2014-07-31,0.004207129650010827
2014-08-29,0.07412493166611013,7,2014-08-29,0.0057608585837019225
2014-09-30,-0.47245559126153414,7,2014-09-30,-0.00463515119554234
2014-10-31,-0.18531232916527532,7,2014-10-31,-0.008479346471494105
2014-11-28,-0.037062465833055065,7,2014-11-28,-0.00907482812485996
2014-12-31,-0.18531232916527532,7,2014-12-31,-0.012671511819562314
2015-01-30,0.037062465833055065,7,2015-01-30,-0.011676832266509965
2015-02-27,-0.3335621924974956,7,2015-02-27,-0.017988309918097918
2015-03-31,-0.037062465833055065,7,2015-03-31,-0.018355120608770172
2015-04-30,0.2594372608313854,7,2015-04-30,-0.013113754921220066
2015-05-29,0.7412493166611013,7,2015-05-29,0.0008559315895636624
2015-06-30,0.2594372608313854,7,2015-06-30,0.00555741030305133
2015-07-31,-0.8894991799933215,7,2015-07-31,-0.010425743095098184
2015-08-31,-0.2594372608313854,7,2015-08-31,-0.014794366213278662
2015-09-30,-0.18531232916527532,7,2015-09-30,-0.017734331091761365
2015-10-30,-0.18531232916527532,7,2015-10-30,-0.02057463614385482
2015-11-30,-0.037062465833055065,7,2015-11-30,-0.020849433305341492
2015-12-31,0.5188745216627708,7,2015-12-31,-0.01200149961733965
2016-01-29,0.7559289460184546,7,2016-01-29,0.00038447531226993453
2016-02-29,0.07412493166611013,7,2016-02-29,0.0015549587464578742
2016-03-31,-0.7041868508280462,7,2016-03-31,-0.009472257028143753
2016-04-29,-0.4076871241636057,7,2016-04-29,-0.015598639599458553
2016-05-31,0.592999453328881,7,2016-05-31,-0.006377456373271587
2016-06-30,-0.18531232916527532,7,2016-06-30,-0.009048126116435821
2016-07-29,0.47245559126153414,7,2016-07-29,-0.0019671890961715575
2016-08-31,-0.2964997266644405,7,2016-08-31,-0.006235776597160963
2016-09-30,0.37062465833055064,7,2016-09-30,-0.0008520560981936543
2016-10-31,-0.037062465833055065,7,2016-10-31,-0.0013620618691071952
