window_weeks,strategy_id,short_duration_share_mean,cash_like_share_mean,largest_category,largest_category_share,top_categories_avg,top_holdings_avg
156,equal_weight,0.03791432012027918,0.0,International Developed Equity,0.18878667124503795,International Developed Equity 18.88%; Commodities / Metals 15.17%; US Large / Broad Blend 9.27%,ACWI 0.95%; ACWX 0.95%; EMLC 0.95%; AGG 0.95%; BND 0.95%
156,erc_weekly,0.23498848808704764,0.0,US Treasuries / Govt / Cash-like,0.290180905127012,US Treasuries / Govt / Cash-like 29.02%; Commodities / Metals 13.79%; International Developed Equity 8.70%,SPTS 7.95%; SHY 7.84%; IEI 4.43%; BSV 4.05%; GOVT 3.71%
156,minvar_lw_monthly_reference,0.5584859419493321,0.0,US Treasuries / Govt / Cash-like,0.43766254279230926,US Treasuries / Govt / Cash-like 43.77%; TIPS / Inflation-Linked 12.77%; Other Fixed Income 11.94%,SHY 16.66%; SPTS 16.47%; BSV 11.94%; STIP 10.79%; FTSL 8.19%
156,minvar_lw_weekly,0.6707442718631323,0.0,US Treasuries / Govt / Cash-like,0.5035012775130716,US Treasuries / Govt / Cash-like 50.35%; TIPS / Inflation-Linked 13.37%; Other Fixed Income 12.05%,SHY 20.99%; SPTS 20.84%; STIP 13.19%; BSV 12.05%; FTSL 11.83%
156,nonlinear_shrinkage_gmv,0.8412357736076713,0.0,US Treasuries / Govt / Cash-like,0.839516556203233,US Treasuries / Govt / Cash-like 83.95%; Multi-Asset / Allocation 12.46%; Commodities / Metals 1.80%,SHY 57.82%; SPTS 26.13%; FTSL 12.46%; DXJ 1.57%; TAGS 0.46%
260,equal_weight,0.03791432012027918,0.0,International Developed Equity,0.18878667124503795,International Developed Equity 18.88%; Commodities / Metals 15.17%; US Large / Broad Blend 9.27%,ACWI 0.95%; ACWX 0.95%; EMLC 0.95%; AGG 0.95%; BND 0.95%
260,erc_weekly,0.26564396136243246,0.0,US Treasuries / Govt / Cash-like,0.3390828683391871,US Treasuries / Govt / Cash-like 33.91%; Commodities / Metals 12.50%; TIPS / Inflation-Linked 8.57%,SPTS 9.37%; SHY 9.34%; IEI 5.25%; GOVT 4.33%; BSV 4.14%
260,minvar_lw_monthly_reference,0.5584859419493321,0.0,US Treasuries / Govt / Cash-like,0.43766254279230926,US Treasuries / Govt / Cash-like 43.77%; TIPS / Inflation-Linked 12.77%; Other Fixed Income 11.94%,SHY 16.66%; SPTS 16.47%; BSV 11.94%; STIP 10.79%; FTSL 8.19%
260,minvar_lw_weekly,0.7421127797751043,0.0,US Treasuries / Govt / Cash-like,0.5715282341077322,US Treasuries / Govt / Cash-like 57.15%; TIPS / Inflation-Linked 14.62%; Other Fixed Income 13.50%,SHY 23.18%; SPTS 22.91%; STIP 14.62%; BSV 13.50%; FTSL 6.85%
260,nonlinear_shrinkage_gmv,0.908383000668908,0.0,US Treasuries / Govt / Cash-like,0.908383000668908,US Treasuries / Govt / Cash-like 90.84%; Multi-Asset / Allocation 5.60%; International Developed Equity 2.10%,SHY 75.26%; SPTS 15.58%; FTSL 5.60%; DXJ 2.08%; TAGS 0.82%
