trial_id,decision_date,feature_end,date,regime,return,turnover,missing_held_returns,ex_post_stress,research_disclaimer
k2_vol_corr_erc,2004-10-31,2004-10-31,2004-11-30,calm,0.06347792614284896,0.5,0,False,Research only; not investment advice.
k2_vol_corr_ew,2004-10-31,2004-10-31,2004-11-30,calm,0.06438692870454181,0.5,0,False,Research only; not investment advice.
k2_vol_corr_spread_erc,2004-10-31,2004-10-31,2004-11-30,calm,0.06347792614284896,0.5,0,False,Research only; not investment advice.
k2_vol_corr_spread_ew,2004-10-31,2004-10-31,2004-11-30,calm,0.06438692870454181,0.5,0,False,Research only; not investment advice.
unconditional_erc,2004-10-31,2004-10-31,2004-11-30,all,0.027374370314538713,0.5,0,False,Research only; not investment advice.
unconditional_ew,2004-10-31,2004-10-31,2004-11-30,all,0.05764657383206542,0.5,0,False,Research only; not investment advice.
always_calm,2004-10-31,2004-10-31,2004-11-30,calm,0.06347792614284896,0.5,0,False,Research only; not investment advice.
k2_vol_corr_erc,2004-11-30,2004-11-30,2004-12-31,calm,0.033898087993275004,0.013859086329340457,0,False,Research only; not investment advice.
k2_vol_corr_ew,2004-11-30,2004-11-30,2004-12-31,calm,0.03328647288986499,0.006529876164421869,0,False,Research only; not investment advice.
k2_vol_corr_spread_erc,2004-11-30,2004-11-30,2004-12-31,calm,0.033898087993275004,0.013859086329340457,0,False,Research only; not investment advice.
k2_vol_corr_spread_ew,2004-11-30,2004-11-30,2004-12-31,calm,0.03328647288986499,0.006529876164421869,0,False,Research only; not investment advice.
unconditional_erc,2004-11-30,2004-11-30,2004-12-31,all,0.024513121702807214,0.02619772106876868,0,False,Research only; not investment advice.
unconditional_ew,2004-11-30,2004-11-30,2004-12-31,all,0.03163990259942921,0.008737473609205439,0,False,Research only; not investment advice.
always_calm,2004-11-30,2004-11-30,2004-12-31,calm,0.033898087993275004,0.013859086329340457,0,False,Research only; not investment advice.
k2_vol_corr_erc,2004-12-31,2004-12-31,2005-01-31,calm,-0.0286951223628797,0.006360038724279003,0,True,Research only; not investment advice.
k2_vol_corr_ew,2004-12-31,2004-12-31,2005-01-31,calm,-0.02982119953021497,0.003496966115649841,0,True,Research only; not investment advice.
k2_vol_corr_spread_erc,2004-12-31,2004-12-31,2005-01-31,calm,-0.0286951223628797,0.006360038724279003,0,True,Research only; not investment advice.
k2_vol_corr_spread_ew,2004-12-31,2004-12-31,2005-01-31,calm,-0.02982119953021497,0.003496966115649841,0,True,Research only; not investment advice.
unconditional_erc,2004-12-31,2004-12-31,2005-01-31,all,-0.00889236165068029,0.005911478008764279,0,True,Research only; not investment advice.
unconditional_ew,2004-12-31,2004-12-31,2005-01-31,all,-0.026113033141979568,0.003949759977006556,0,True,Research only; not investment advice.
always_calm,2004-12-31,2004-12-31,2005-01-31,calm,-0.0286951223628797,0.006360038724279003,0,True,Research only; not investment advice.
k2_vol_corr_erc,2005-01-31,2005-01-31,2005-02-28,calm,0.02618714717208984,0.0025498825766045383,0,False,Research only; not investment advice.
k2_vol_corr_ew,2005-01-31,2005-01-31,2005-02-28,calm,0.02515573458677824,0.0038328249065345613,0,False,Research only; not investment advice.
k2_vol_corr_spread_erc,2005-01-31,2005-01-31,2005-02-28,calm,0.02618714717208984,0.0025498825766045383,0,False,Research only; not investment advice.
k2_vol_corr_spread_ew,2005-01-31,2005-01-31,2005-02-28,calm,0.02515573458677824,0.0038328249065345613,0,False,Research only; not investment advice.
unconditional_erc,2005-01-31,2005-01-31,2005-02-28,all,0.009081118285657167,0.0022289475570342852,0,False,Research only; not investment advice.
unconditional_ew,2005-01-31,2005-01-31,2005-02-28,all,0.02219891051211458,0.004802037025021813,0,False,Research only; not investment advice.
always_calm,2005-01-31,2005-01-31,2005-02-28,calm,0.02618714717208984,0.0025498825766045383,0,False,Research only; not investment advice.
k2_vol_corr_erc,2005-02-28,2005-02-28,2005-03-31,calm,-0.01901317640814146,0.006558306325378946,0,True,Research only; not investment advice.
k2_vol_corr_ew,2005-02-28,2005-02-28,2005-03-31,calm,-0.019262232076166882,0.003734459808285455,0,True,Research only; not investment advice.
k2_vol_corr_spread_erc,2005-02-28,2005-02-28,2005-03-31,calm,-0.01901317640814146,0.006558306325378946,0,True,Research only; not investment advice.
k2_vol_corr_spread_ew,2005-02-28,2005-02-28,2005-03-31,calm,-0.019262232076166882,0.003734459808285455,0,True,Research only; not investment advice.
unconditional_erc,2005-02-28,2005-02-28,2005-03-31,all,-0.011518672908281045,0.00728554131743455,0,True,Research only; not investment advice.
unconditional_ew,2005-02-28,2005-02-28,2005-03-31,all,-0.017890962065775992,0.0050989711561418155,0,True,Research only; not investment advice.
always_calm,2005-02-28,2005-02-28,2005-03-31,calm,-0.01901317640814146,0.006558306325378946,0,True,Research only; not investment advice.
k2_vol_corr_erc,2005-03-31,2005-03-31,2005-04-30,calm,-0.03567105831019337,0.004467939939802247,0,True,Research only; not investment advice.
k2_vol_corr_ew,2005-03-31,2005-03-31,2005-04-30,calm,-0.036834640922794176,0.0030744417806092966,0,True,Research only; not investment advice.
k2_vol_corr_spread_erc,2005-03-31,2005-03-31,2005-04-30,calm,-0.03567105831019337,0.004467939939802247,0,True,Research only; not investment advice.
k2_vol_corr_spread_ew,2005-03-31,2005-03-31,2005-04-30,calm,-0.036834640922794176,0.0030744417806092966,0,True,Research only; not investment advice.
unconditional_erc,2005-03-31,2005-03-31,2005-04-30,all,-0.008970813722813175,0.010948791211085447,0,True,Research only; not investment advice.
unconditional_ew,2005-03-31,2005-03-31,2005-04-30,all,-0.031847787698966123,0.003279720089911266,0,True,Research only; not investment advice.
always_calm,2005-03-31,2005-03-31,2005-04-30,calm,-0.03567105831019337,0.004467939939802247,0,True,Research only; not investment advice.
k2_vol_corr_erc,2005-04-30,2005-04-30,2005-05-31,calm,0.04282645488577205,0.21852976161038043,0,False,Research only; not investment advice.
k2_vol_corr_ew,2005-04-30,2005-04-30,2005-05-31,calm,0.04691378884850587,0.0833333333333334,0,False,Research only; not investment advice.
k2_vol_corr_spread_erc,2005-04-30,2005-04-30,2005-05-31,calm,0.04282645488577205,0.21852976161038043,0,False,Research only; not investment advice.
k2_vol_corr_spread_ew,2005-04-30,2005-04-30,2005-05-31,calm,0.04691378884850587,0.0833333333333334,0,False,Research only; not investment advice.
unconditional_erc,2005-04-30,2005-04-30,2005-05-31,all,0.032318376756741395,0.1300148038380641,0,False,Research only; not investment advice.
unconditional_ew,2005-04-30,2005-04-30,2005-05-31,all,0.044682309966095256,0.07692307692307687,0,False,Research only; not investment advice.
always_calm,2005-04-30,2005-04-30,2005-05-31,calm,0.04282645488577205,0.21852976161038043,0,False,Research only; not investment advice.
k2_vol_corr_erc,2005-05-31,2005-05-31,2005-06-30,calm,0.023016957275162293,0.010230971274292934,0,False,Research only; not investment advice.
k2_vol_corr_ew,2005-05-31,2005-05-31,2005-06-30,calm,0.019932411032655584,0.009661019218605064,0,False,Research only; not investment advice.
k2_vol_corr_spread_erc,2005-05-31,2005-05-31,2005-06-30,calm,0.023016957275162293,0.010230971274292934,0,False,Research only; not investment advice.
k2_vol_corr_spread_ew,2005-05-31,2005-05-31,2005-06-30,calm,0.019932411032655584,0.009661019218605064,0,False,Research only; not investment advice.
unconditional_erc,2005-05-31,2005-05-31,2005-06-30,all,0.01755161827223848,0.007719275220311298,0,False,Research only; not investment advice.
unconditional_ew,2005-05-31,2005-05-31,2005-06-30,all,0.019140160199518665,0.010087085929705857,0,False,Research only; not investment advice.
always_calm,2005-05-31,2005-05-31,2005-06-30,calm,0.023016957275162293,0.010230971274292934,0,False,Research only; not investment advice.
k2_vol_corr_erc,2005-06-30,2005-06-30,2005-07-31,calm,0.05487241463577525,0.01958080914475884,0,False,Research only; not investment advice.
k2_vol_corr_ew,2005-06-30,2005-06-30,2005-07-31,calm,0.053003380416300344,0.0076082741527774694,0,False,Research only; not investment advice.
k2_vol_corr_spread_erc,2005-06-30,2005-06-30,2005-07-31,calm,0.05487241463577525,0.01958080914475884,0,False,Research only; not investment advice.
k2_vol_corr_spread_ew,2005-06-30,2005-06-30,2005-07-31,calm,0.053003380416300344,0.0076082741527774694,0,False,Research only; not investment advice.
unconditional_erc,2005-06-30,2005-06-30,2005-07-31,all,0.024771453006425664,0.019211015885519305,0,False,Research only; not investment advice.
unconditional_ew,2005-06-30,2005-06-30,2005-07-31,all,0.0474023805917286,0.007387268784647898,0,False,Research only; not investment advice.
always_calm,2005-06-30,2005-06-30,2005-07-31,calm,0.05487241463577525,0.01958080914475884,0,False,Research only; not investment advice.
k2_vol_corr_erc,2005-07-31,2005-07-31,2005-08-31,calm,-0.00026809335137135514,0.03940339518915223,0,False,Research only; not investment advice.
k2_vol_corr_ew,2005-07-31,2005-07-31,2005-08-31,calm,-0.002754851347681312,0.006315852345760306,0,False,Research only; not investment advice.
k2_vol_corr_spread_erc,2005-07-31,2005-07-31,2005-08-31,calm,-0.00026809335137135514,0.03940339518915223,0,False,Research only; not investment advice.
k2_vol_corr_spread_ew,2005-07-31,2005-07-31,2005-08-31,calm,-0.002754851347681312,0.006315852345760306,0,False,Research only; not investment advice.
unconditional_erc,2005-07-31,2005-07-31,2005-08-31,all,0.008327762943335468,0.03320288735257043,0,False,Research only; not investment advice.
unconditional_ew,2005-07-31,2005-07-31,2005-08-31,all,-0.0009695391572450067,0.008912593202440422,0,False,Research only; not investment advice.
always_calm,2005-07-31,2005-07-31,2005-08-31,calm,-0.00026809335137135514,0.03940339518915223,0,False,Research only; not investment advice.
k2_vol_corr_erc,2005-08-31,2005-08-31,2005-09-30,calm,0.026622581988995954,0.0059307231728507916,0,False,Research only; not investment advice.
k2_vol_corr_ew,2005-08-31,2005-08-31,2005-09-30,calm,0.019487713522941135,0.006799466390901024,0,False,Research only; not investment advice.
k2_vol_corr_spread_erc,2005-08-31,2005-08-31,2005-09-30,calm,0.026622581988995954,0.0059307231728507916,0,False,Research only; not investment advice.
k2_vol_corr_spread_ew,2005-08-31,2005-08-31,2005-09-30,calm,0.019487713522941135,0.006799466390901024,0,False,Research only; not investment advice.
unconditional_erc,2005-08-31,2005-08-31,2005-09-30,all,0.007698256060326997,0.006116449517441121,0,False,Research only; not investment advice.
unconditional_ew,2005-08-31,2005-08-31,2005-09-30,all,0.016536213562885625,0.007502399113939885,0,False,Research only; not investment advice.
