date,eval_date,trial_id,core,apply_to,f,g,f_tilde,gate_binding,left_tail_score,lt_median,skew,skew_estimator,left_tail_rule,sigma_hat,sigma_star,lookback,skew_lookback_months,g_min,f_min,f_max,cash_ticker,cash_price_source,thin_history_tickers,n_panel_names_eligible,n_null_names,qqqm_first_valid,turnover,cost_return,w_VOO,w_QQQM,w_IJR,w_BIL
2020-11-30,2020-12-31,SM_option_a_vt_L21_SL21_g0p25_realizedamaya_cvar5,option_a,option_a_vt,1.0,1.0,1.0,False,,,1.2974344953165096,realized_amaya,cvar_5,0.1725586351534862,0.19655749503893236,21,21,0.25,0.25,1.0,BIL,prices,QQQM,339,159,2020-10-13,0.0,0.0,0.7,0.2,0.1,0.0
2020-12-31,2021-01-29,SM_option_a_vt_L21_SL21_g0p25_realizedamaya_cvar5,option_a,option_a_vt,1.0,1.0,1.0,False,,,1.1574670112098557,realized_amaya,cvar_5,0.08475951398550026,0.16108421258698608,21,21,0.25,0.25,1.0,BIL,prices,QQQM,339,163,2020-10-13,0.0,0.0,0.7,0.2,0.1,0.0
2021-01-29,2021-02-26,SM_option_a_vt_L21_SL21_g0p25_realizedamaya_cvar5,option_a,option_a_vt,0.9912394971728384,1.0,0.9912394971728384,False,0.0002656588922878445,,-0.6292777795336822,realized_amaya,cvar_5,0.15820552496260631,0.15681956501389882,21,21,0.25,0.25,1.0,BIL,prices,QQQM,339,165,2020-10-13,0.008760502827161558,4.380251413580779e-06,0.6938676480209869,0.1982478994345677,0.09912394971728385,0.008760502827161565
2021-02-26,2021-03-31,SM_option_a_vt_L21_SL21_g0p25_realizedamaya_cvar5,option_a,option_a_vt,0.9584909069162808,1.0,0.9584909069162808,False,0.0002656588922878445,0.0002656588922878445,-0.4414810862480415,realized_amaya,cvar_5,0.16666055093674378,0.15974262261452657,21,21,0.25,0.25,1.0,BIL,prices,QQQM,339,168,2020-10-13,0.03274859025655764,1.6374295128278816e-05,0.6709436348413965,0.19169818138325617,0.09584909069162809,0.041509093083719195
2021-03-31,2021-04-30,SM_option_a_vt_L21_SL21_g0p25_realizedamaya_cvar5,option_a,option_a_vt,0.9567441668792633,1.0,0.9567441668792633,False,0.0002656588922878445,0.0002656588922878445,0.6112541878618175,realized_amaya,cvar_5,0.1720757160141774,0.16463243755813686,21,21,0.25,0.25,1.0,BIL,prices,QQQM,339,171,2020-10-13,0.001746740037017469,8.733700185087345e-07,0.6697209168154843,0.19134883337585268,0.09567441668792634,0.043255833120736664
2021-04-30,2021-05-28,SM_option_a_vt_L21_SL21_g0p25_realizedamaya_cvar5,option_a,option_a_vt,1.0,1.0,1.0,False,0.0002656588922878445,0.0002656588922878445,0.8891284758746884,realized_amaya,cvar_5,0.11357034319925466,0.1572673155173817,21,21,0.25,0.25,1.0,BIL,prices,QQQM,339,173,2020-10-13,0.043255833120736664,2.162791656036833e-05,0.7,0.2,0.1,0.0
2021-05-28,2021-06-30,SM_option_a_vt_L21_SL21_g0p25_realizedamaya_cvar5,option_a,option_a_vt,1.0,1.0,1.0,False,0.0002656588922878445,0.0002656588922878445,-0.3572811956440592,realized_amaya,cvar_5,0.15213475619825517,0.15686903609410532,21,21,0.25,0.25,1.0,BIL,prices,QQQM,339,177,2020-10-13,0.0,0.0,0.7,0.2,0.1,0.0
2021-06-30,2021-07-30,SM_option_a_vt_L21_SL21_g0p25_realizedamaya_cvar5,option_a,option_a_vt,1.0,1.0,1.0,False,0.0002656588922878445,0.0002656588922878445,0.3653180709543913,realized_amaya,cvar_5,0.08842131261880498,0.1497772850799746,21,21,0.25,0.25,1.0,BIL,prices,QQQM,339,180,2020-10-13,0.0,0.0,0.7,0.2,0.1,0.0
2021-07-30,2021-08-31,SM_option_a_vt_L21_SL21_g0p25_realizedamaya_cvar5,option_a,option_a_vt,1.0,1.0,1.0,False,0.0002656588922878445,0.0002656588922878445,0.36971411823645894,realized_amaya,cvar_5,0.11560138619765561,0.14615172090236206,21,21,0.25,0.25,1.0,BIL,prices,QQQM,339,184,2020-10-13,0.0,0.0,0.7,0.2,0.1,0.0
2021-08-31,2021-09-30,SM_option_a_vt_L21_SL21_g0p25_realizedamaya_cvar5,option_a,option_a_vt,1.0,1.0,1.0,False,0.0002656588922878445,0.0002656588922878445,0.5663643704191799,realized_amaya,cvar_5,0.09092833945186884,0.1415043667253468,21,21,0.25,0.25,1.0,BIL,prices,QQQM,339,187,2020-10-13,0.0,0.0,0.7,0.2,0.1,0.0
2021-09-30,2021-10-29,SM_option_a_vt_L21_SL21_g0p25_realizedamaya_cvar5,option_a,option_a_vt,1.0,0.25,0.25,True,0.046385335726389115,0.0002656588922878445,-1.1935022365350227,realized_amaya,cvar_5,0.1282988187718391,0.1405124631672338,21,21,0.25,0.25,1.0,BIL,prices,QQQM,339,190,2020-10-13,0.75,0.000375,0.175,0.05,0.025,0.75
2021-10-29,2021-11-30,SM_option_a_vt_L21_SL21_g0p25_realizedamaya_cvar5,option_a,option_a_vt,1.0,0.25,0.25,True,0.046385335726389115,0.0002656588922878445,0.8762411389374886,realized_amaya,cvar_5,0.11025780532890737,0.13901142160171953,21,21,0.25,0.25,1.0,BIL,prices,QQQM,339,192,2020-10-13,0.0,0.0,0.175,0.05,0.025,0.75
2021-11-30,2021-12-31,SM_option_a_vt_L21_SL21_g0p25_realizedamaya_cvar5,option_a,option_a_vt,1.0,0.25,0.25,True,0.046385335726389115,0.0002656588922878445,-1.366898761381862,realized_amaya,cvar_5,0.13278836398436084,0.13720496738717505,21,21,0.25,0.25,1.0,BIL,prices,QQQM,339,198,2020-10-13,0.0,0.0,0.175,0.05,0.025,0.75
2021-12-31,2022-01-31,SM_option_a_vt_L21_SL21_g0p25_realizedamaya_cvar5,option_a,option_a_vt,0.7846552407741884,0.25,0.1961638101935471,True,0.046385335726389115,0.0002656588922878445,0.7061188590801553,realized_amaya,cvar_5,0.18070030914234875,0.14178744457805992,21,21,0.25,0.25,1.0,BIL,prices,QQQM,339,199,2020-10-13,0.05383618980645289,2.6918094903226447e-05,0.13731466713548296,0.03923276203870942,0.01961638101935471,0.8038361898064529
2022-01-31,2022-02-28,SM_option_a_vt_L21_SL21_g0p25_realizedamaya_cvar5,option_a,option_a_vt,0.7269641712944956,0.25,0.1817410428236239,True,0.0613129805974495,0.0002656588922878445,-0.2359700727182373,realized_amaya,cvar_5,0.20072017244526846,0.14591637382376285,21,21,0.25,0.25,1.0,BIL,prices,QQQM,339,201,2020-10-13,0.014422767369923192,7.2113836849615965e-06,0.12721872997653674,0.03634820856472478,0.01817410428236239,0.8182589571763761
2022-02-28,2022-03-31,SM_option_a_vt_L21_SL21_g0p25_realizedamaya_cvar5,option_a,option_a_vt,0.601139623059878,0.25,0.1502849057649695,True,0.0613129805974495,0.0002656588922878445,-0.41025933871954645,realized_amaya,cvar_5,0.25479506526606727,0.15316740949156069,21,21,0.25,0.25,1.0,BIL,prices,QQQM,339,203,2020-10-13,0.03145613705865438,1.572806852932719e-05,0.10519943403547864,0.030056981152993902,0.015028490576496951,0.8497150942350304
