date,eval_date,trial_id,core,f,sigma_hat,sigma_star,lookback,f_min,f_max,cash_ticker,cash_price_source,thin_history_tickers,qqqm_first_valid,turnover,cost_return,w_VOO,w_QQQM,w_IJR,w_BIL
2021-01-29,2021-02-26,VT_option_a_L63_sigexpanding_fmax1p0,option_a,1.0,0.14688778385379772,0.15681956501389882,63,0.25,1.0,BIL,zero_return_proxy_rf0,QQQM,2020-10-13,0.0,0.0,0.7,0.2,0.1,0.0
2021-02-26,2021-03-31,VT_option_a_L63_sigexpanding_fmax1p0,option_a,1.0,0.1349849087187165,0.15974262261452657,63,0.25,1.0,BIL,zero_return_proxy_rf0,QQQM,2020-10-13,0.0,0.0,0.7,0.2,0.1,0.0
2021-03-31,2021-04-30,VT_option_a_L63_sigexpanding_fmax1p0,option_a,0.9883955147201895,0.1665653426247524,0.16463243755813686,63,0.25,1.0,BIL,zero_return_proxy_rf0,QQQM,2020-10-13,0.011604485279810492,5.802242639905246e-06,0.6918768603041326,0.1976791029440379,0.09883955147201895,0.011604485279810506
2021-04-30,2021-05-28,VT_option_a_L63_sigexpanding_fmax1p0,option_a,1.0,0.15418576519054888,0.1572673155173817,63,0.25,1.0,BIL,zero_return_proxy_rf0,QQQM,2020-10-13,0.011604485279810492,5.802242639905246e-06,0.7,0.2,0.1,0.0
2021-05-28,2021-06-30,VT_option_a_L63_sigexpanding_fmax1p0,option_a,1.0,0.14725372207323956,0.15686903609410532,63,0.25,1.0,BIL,zero_return_proxy_rf0,QQQM,2020-10-13,0.0,0.0,0.7,0.2,0.1,0.0
2021-06-30,2021-07-30,VT_option_a_L63_sigexpanding_fmax1p0,option_a,1.0,0.11877912539421058,0.1497772850799746,63,0.25,1.0,BIL,zero_return_proxy_rf0,QQQM,2020-10-13,0.0,0.0,0.7,0.2,0.1,0.0
2021-07-30,2021-08-31,VT_option_a_L63_sigexpanding_fmax1p0,option_a,1.0,0.1188347471759527,0.14615172090236206,63,0.25,1.0,BIL,zero_return_proxy_rf0,QQQM,2020-10-13,0.0,0.0,0.7,0.2,0.1,0.0
2021-08-31,2021-09-30,VT_option_a_L63_sigexpanding_fmax1p0,option_a,1.0,0.0977768358619086,0.1415043667253468,63,0.25,1.0,BIL,zero_return_proxy_rf0,QQQM,2020-10-13,0.0,0.0,0.7,0.2,0.1,0.0
2021-09-30,2021-10-29,VT_option_a_L63_sigexpanding_fmax1p0,option_a,1.0,0.11374163992408176,0.1405124631672338,63,0.25,1.0,BIL,zero_return_proxy_rf0,QQQM,2020-10-13,0.0,0.0,0.7,0.2,0.1,0.0
2021-10-29,2021-11-30,VT_option_a_L63_sigexpanding_fmax1p0,option_a,1.0,0.11497101707613572,0.13901142160171953,63,0.25,1.0,BIL,zero_return_proxy_rf0,QQQM,2020-10-13,0.0,0.0,0.7,0.2,0.1,0.0
2021-11-30,2021-12-31,VT_option_a_L63_sigexpanding_fmax1p0,option_a,1.0,0.12725329591857482,0.13720496738717505,63,0.25,1.0,BIL,zero_return_proxy_rf0,QQQM,2020-10-13,0.0,0.0,0.7,0.2,0.1,0.0
2021-12-31,2022-01-31,VT_option_a_L63_sigexpanding_fmax1p0,option_a,0.975675539863015,0.1453223318460632,0.14178744457805992,63,0.25,1.0,BIL,zero_return_proxy_rf0,QQQM,2020-10-13,0.024324460136984985,1.2162230068492492e-05,0.6829728779041104,0.19513510797260303,0.09756755398630151,0.02432446013698497
2022-01-31,2022-02-28,VT_option_a_L63_sigexpanding_fmax1p0,option_a,0.8268150702250646,0.17648006075172704,0.14591637382376285,63,0.25,1.0,BIL,zero_return_proxy_rf0,QQQM,2020-10-13,0.14886046963795038,7.44302348189752e-05,0.5787705491575452,0.16536301404501294,0.08268150702250647,0.17318492977493538
2022-02-28,2022-03-31,VT_option_a_L63_sigexpanding_fmax1p0,option_a,0.7305403579269963,0.20966317306027174,0.15316740949156069,63,0.25,1.0,BIL,zero_return_proxy_rf0,QQQM,2020-10-13,0.0962747122980683,4.813735614903415e-05,0.5113782505488974,0.14610807158539926,0.07305403579269963,0.26945964207300366
2022-03-31,2022-04-29,VT_option_a_L63_sigexpanding_fmax1p0,option_a,0.6983104078643289,0.2288204269427964,0.159787685666114,63,0.25,1.0,BIL,zero_return_proxy_rf0,QQQM,2020-10-13,0.032229950062667476,1.611497503133374e-05,0.4888172855050302,0.13966208157286578,0.06983104078643289,0.30168959213567115
2022-04-29,2022-05-31,VT_option_a_L63_sigexpanding_fmax1p0,option_a,0.6566488343786555,0.2509686256635774,0.16479825550760124,63,0.25,1.0,BIL,zero_return_proxy_rf0,QQQM,2020-10-13,0.04166157348567335,2.0830786742836676e-05,0.4596541840650588,0.1313297668757311,0.06566488343786556,0.3433511656213445
2022-05-31,2022-06-30,VT_option_a_L63_sigexpanding_fmax1p0,option_a,0.6373820301920776,0.2803333337589776,0.17867942940181045,63,0.25,1.0,BIL,zero_return_proxy_rf0,QQQM,2020-10-13,0.01926680418657789,9.633402093288945e-06,0.4461674211344543,0.12747640603841554,0.06373820301920777,0.3626179698079224
2022-06-30,2022-07-29,VT_option_a_L63_sigexpanding_fmax1p0,option_a,0.6291072572791074,0.2977448042630135,0.1873134171790091,63,0.25,1.0,BIL,zero_return_proxy_rf0,QQQM,2020-10-13,0.008274772912970178,4.137386456485089e-06,0.4403750800953752,0.1258214514558215,0.06291072572791075,0.37089274272089257
2022-07-29,2022-08-31,VT_option_a_L63_sigexpanding_fmax1p0,option_a,0.6358428984005169,0.2959711242414029,0.18819113748051314,63,0.25,1.0,BIL,zero_return_proxy_rf0,QQQM,2020-10-13,0.006735641121409466,3.3678205607047333e-06,0.4450900288803618,0.1271685796801034,0.0635842898400517,0.3641571015994831
2022-08-31,2022-09-30,VT_option_a_L63_sigexpanding_fmax1p0,option_a,0.7589396835199571,0.24932349604201218,0.189221495180214,63,0.25,1.0,BIL,zero_return_proxy_rf0,QQQM,2020-10-13,0.1230967851194402,6.15483925597201e-05,0.5312577784639699,0.15178793670399143,0.07589396835199572,0.2410603164800429
