decision_date,feature_end,date,label_start,n_names,n_sleeves,include_thin,n_thin,n_signal_modes,pct_var_signal,noise_penalty,signal_risk_fraction,eigen_risk_contributions,mp_upper_edge,configuration_id
1998-01-30,1998-01-30,1998-02-27,1998-01-31,1,1,False,0,1,1.0,0.0,1.0,[1.0],1.2748655564138276,0
1998-02-27,1998-02-27,1998-03-31,1998-02-28,1,1,False,0,1,1.0,0.0,1.0,[1.0],1.2748655564138276,0
1998-03-31,1998-03-31,1998-04-30,1998-04-01,1,1,False,0,1,1.0,0.0,1.0,[1.0],1.2748655564138276,0
1998-04-30,1998-04-30,1998-05-29,1998-05-01,1,1,False,0,1,1.0,0.0,1.0,[1.0],1.2748655564138276,0
1998-05-29,1998-05-29,1998-06-30,1998-05-30,1,1,False,0,1,1.0,0.0,1.0,[1.0],1.2748655564138276,0
1998-06-30,1998-06-30,1998-07-31,1998-07-01,1,1,False,0,1,1.0,0.0,1.0,[1.0],1.2748655564138276,0
1998-07-31,1998-07-31,1998-08-31,1998-08-01,1,1,False,0,1,1.0,0.0,1.0,[1.0],1.2748655564138276,0
1998-08-31,1998-08-31,1998-09-30,1998-09-01,1,1,False,0,1,1.0,0.0,1.0,[1.0],1.2748655564138276,0
1998-09-30,1998-09-30,1998-10-30,1998-10-01,1,1,False,0,1,1.0,0.0,1.0,[1.0],1.2748655564138276,0
1998-10-30,1998-10-30,1998-11-30,1998-10-31,1,1,False,0,1,1.0,0.0,1.0,[1.0],1.2748655564138276,0
1998-11-30,1998-11-30,1998-12-31,1998-12-01,1,1,False,0,1,1.0,0.0,1.0,[1.0],1.2748655564138276,0
1998-12-31,1998-12-31,1999-01-29,1999-01-01,1,1,False,0,1,1.0,0.0,1.0,[1.0],1.2748655564138276,0
1999-01-29,1999-01-29,1999-02-26,1999-01-30,1,1,False,0,1,1.0,0.0,1.0,[1.0],1.2748655564138276,0
1999-02-26,1999-02-26,1999-03-31,1999-02-27,1,1,False,0,1,1.0,0.0,1.0,[1.0],1.2748655564138276,0
1999-03-31,1999-03-31,1999-04-30,1999-04-01,1,1,False,0,1,1.0,0.0,1.0,[1.0],1.2748655564138276,0
1999-04-30,1999-04-30,1999-05-28,1999-05-01,1,1,False,0,1,1.0,0.0,1.0,[1.0],1.2748655564138276,0
1999-05-28,1999-05-28,1999-06-30,1999-05-29,1,1,False,0,1,1.0,0.0,1.0,[1.0],1.2748655564138276,0
1999-06-30,1999-06-30,1999-07-30,1999-07-01,1,1,False,0,1,1.0,0.0,1.0,[1.0],1.2748655564138276,0
1999-07-30,1999-07-30,1999-08-31,1999-07-31,1,1,False,0,1,1.0,0.0,1.0,[1.0],1.2748655564138276,0
1999-08-31,1999-08-31,1999-09-30,1999-09-01,1,1,False,0,1,1.0,0.0,1.0,[1.0],1.2748655564138276,0
1999-09-30,1999-09-30,1999-10-29,1999-10-01,1,1,False,0,1,1.0,0.0,1.0,[1.0],1.2748655564138276,0
1999-10-29,1999-10-29,1999-11-30,1999-10-30,1,1,False,0,1,1.0,0.0,1.0,[1.0],1.2748655564138276,0
1999-11-30,1999-11-30,1999-12-31,1999-12-01,1,1,False,0,1,1.0,0.0,1.0,[1.0],1.2748655564138276,0
1999-12-31,1999-12-31,2000-01-31,2000-01-01,1,1,False,0,1,1.0,0.0,1.0,[1.0],1.2748655564138276,0
2000-01-31,2000-01-31,2000-02-29,2000-02-01,1,1,False,0,1,1.0,0.0,1.0,[1.0],1.2748655564138276,0
2000-02-29,2000-02-29,2000-03-31,2000-03-01,1,1,False,0,1,1.0,0.0,1.0,[1.0],1.2748655564138276,0
2000-03-31,2000-03-31,2000-04-28,2000-04-01,1,1,False,0,1,1.0,0.0,1.0,[1.0],1.2748655564138276,0
2000-04-28,2000-04-28,2000-05-31,2000-04-29,1,1,False,0,1,1.0,0.0,1.0,[1.0],1.2748655564138276,0
2000-05-31,2000-05-31,2000-06-30,2000-06-01,2,2,False,0,1,0.9189477389942722,7.415562800668876e-37,1.0,"[5.946641966922962e-35, 1.0]",1.3984817050034442,0
2000-06-30,2000-06-30,2000-07-31,2000-07-01,2,2,False,0,1,0.9198959456067621,6.707080837800338e-38,1.0,"[5.323060660572693e-36, 1.0]",1.3984817050034442,0
2000-07-31,2000-07-31,2000-08-31,2000-08-01,2,2,False,0,1,0.9179888204622805,2.786206769422328e-36,1.0,"[2.2643626792211092e-34, 1.0]",1.3984817050034442,0
2000-08-31,2000-08-31,2000-09-29,2000-09-01,2,2,False,0,1,0.9195648230178481,9.035892685830441e-37,1.0,"[6.952858111509596e-35, 1.0]",1.3984817050034442,0
2000-09-29,2000-09-29,2000-10-31,2000-09-30,2,2,False,0,1,0.9171795304430618,2.399387552541009e-36,1.0,"[1.8585029050957713e-34, 1.0]",1.3984817050034442,0
2000-10-31,2000-10-31,2000-11-30,2000-11-01,2,2,False,0,1,0.9172893095345735,6.622033043317025e-36,1.0,"[5.118142138356382e-34, 1.0]",1.3984817050034442,0
2000-11-30,2000-11-30,2000-12-29,2000-12-01,2,2,False,0,1,0.9209329853127552,9.345146399811014e-36,1.0,"[6.5237918970838694e-34, 1.0]",1.3984817050034442,0
2000-12-29,2000-12-29,2001-01-31,2000-12-30,2,2,False,0,1,0.9129359823603314,1.6475253614291773e-36,1.0,"[1.265732246401255e-34, 1.0]",1.3984817050034442,0
2001-01-31,2001-01-31,2001-02-28,2001-02-01,2,2,False,0,1,0.9129459813661273,1.0768607205687073e-36,1.0,"[8.254285735112946e-35, 1.0]",1.3984817050034442,0
2001-02-28,2001-02-28,2001-03-30,2001-03-01,2,2,False,0,1,0.9157666891172691,2.3124596340264445e-35,1.0,"[1.6034580697496814e-33, 1.0]",1.3984817050034442,0
2001-03-30,2001-03-30,2001-04-30,2001-03-31,4,4,False,0,1,0.7667766199712258,9.781221805359267e-36,1.0,"[4.0892871566854635e-34, 1.457290965257338e-34, 1.5611318606290142e-34, 1.0]",1.5830644461609886,0
2001-04-30,2001-04-30,2001-05-31,2001-05-01,4,4,False,0,1,0.7741680365569759,4.1582390483604514e-35,1.0,"[1.9145297252915475e-33, 6.135982020447457e-35, 8.063997639232868e-34, 1.0]",1.5830644461609886,0
2001-05-31,2001-05-31,2001-06-29,2001-06-01,4,4,False,0,1,0.7735696737263182,2.0926994828308e-35,1.0,"[9.545384174172223e-34, 1.5614397244395289e-34, 1.0251971604485382e-34, 1.0]",1.5830644461609886,0
2001-06-29,2001-06-29,2001-07-31,2001-06-30,4,4,False,0,1,0.7755063714640623,2.1766556340466134e-35,1.0,"[1.0383665558796873e-33, 9.755942784157314e-35, 1.2691805002092865e-35, 1.0]",1.5830644461609886,0
2001-07-31,2001-07-31,2001-08-31,2001-08-01,4,4,False,0,1,0.7755659040325853,6.62101627551135e-36,1.0,"[7.499792660970829e-35, 2.822256661366667e-34, 2.448874635616224e-34, 1.0]",1.5830644461609886,0
2001-08-31,2001-08-31,2001-09-28,2001-09-01,4,4,False,0,1,0.7788290025068887,2.2011874527889162e-35,1.0,"[7.863998194545088e-34, 2.400972525665951e-34, 6.456680008294957e-34, 1.0]",1.5830644461609886,0
2001-09-28,2001-09-28,2001-10-31,2001-09-29,4,4,False,0,1,0.784896937234171,6.319467257754897e-35,1.0,"[2.5640088176955703e-33, 4.771387957596458e-34, 4.398788976463251e-37, 1.0]",1.5830644461609886,0
2001-10-31,2001-10-31,2001-11-30,2001-11-01,4,4,False,0,1,0.7909089334919029,4.4912145275627907e-35,1.0,"[3.25505668125272e-34, 2.0851565404555018e-33, 4.367920301836573e-34, 1.0]",1.5830644461609886,0
2001-11-30,2001-11-30,2001-12-31,2001-12-01,4,4,False,0,1,0.7892730826804153,3.0930778660424766e-35,1.0,"[2.9419145348223003e-36, 1.7927162301811828e-33, 1.4601200746618226e-36, 1.0]",1.5830644461609886,0
