date,asof,strategy_id,ticker,weight,role,thesis_tag,research_disclaimer,rotate_on,mode,optimizer,S_i
2026-09-16,2026-09-16,static_option_a,VOO,0.7,core,static_option_a,Research-only; not investment advice; no trading or broker routing.,,,,
2026-09-16,2026-09-16,static_option_a,QQQM,0.2,core,static_option_a,Research-only; not investment advice; no trading or broker routing.,,,,
2026-09-16,2026-09-16,static_option_a,IJR,0.1,core,static_option_a,Research-only; not investment advice; no trading or broker routing.,,,,
2026-08-31,2026-08-31,vol_target_option_a,VOO,0.7,core,vol_target_option_a,Research-only; not investment advice; no trading or broker routing.,,,,
2026-08-31,2026-08-31,vol_target_option_a,QQQM,0.2,core,vol_target_option_a,Research-only; not investment advice; no trading or broker routing.,,,,
2026-08-31,2026-08-31,vol_target_option_a,IJR,0.1,core,vol_target_option_a,Research-only; not investment advice; no trading or broker routing.,,,,
2026-08-31,2026-08-31,vol_target_option_a,BIL,0.0,cash,vol_target_cash,Research-only; not investment advice; no trading or broker routing.,,,,
2026-09-16,2026-09-16,score_rotate_xsd,VOO,0.7,core,core_option_a,Research-only; not investment advice; no trading or broker routing.,False,growth_rotate,,
2026-09-16,2026-09-16,score_rotate_xsd,QQQM,0.2,core,core_option_a,Research-only; not investment advice; no trading or broker routing.,False,growth_rotate,,
2026-09-16,2026-09-16,score_rotate_xsd,IJR,0.1,core,core_option_a,Research-only; not investment advice; no trading or broker routing.,False,growth_rotate,,
2026-09-16,2026-09-16,score_rotate_xsd,XSD,0.0,thematic,thematic_off,Research-only; not investment advice; no trading or broker routing.,False,growth_rotate,,
2026-09-16,2026-09-16,m3_p2_core_rotate,VOO,0.41999999999999993,core,p2_optimized,Research-only; not investment advice; no trading or broker routing.,False,growth_optimize,P2,0.0337245379738269
2026-09-16,2026-09-16,m3_p2_core_rotate,IJK,0.301712487770179,satellite,p2_optimized,Research-only; not investment advice; no trading or broker routing.,False,growth_optimize,P2,0.6070416835289357
2026-09-16,2026-09-16,m3_p2_core_rotate,QQQM,0.12,core,p2_optimized,Research-only; not investment advice; no trading or broker routing.,False,growth_optimize,P2,0.6070416835289398
2026-09-16,2026-09-16,m3_p2_core_rotate,GTEK,0.08224690309276528,thematic,scoresimple_gated_thematic_on,Research-only; not investment advice; no trading or broker routing.,True,growth_optimize,P2,4.865568060157459
2026-09-16,2026-09-16,m3_p2_core_rotate,IJR,0.06,core,p2_optimized,Research-only; not investment advice; no trading or broker routing.,False,growth_optimize,P2,0.2697963037906382
2026-09-16,2026-09-16,m3_p2_core_rotate,VIOG,0.0016243654822335092,satellite,p2_optimized,Research-only; not investment advice; no trading or broker routing.,False,growth_optimize,P2,0.26979630379063807
2026-09-16,2026-09-16,m3_p2_core_rotate,VXF,0.001624365482233506,satellite,p2_optimized,Research-only; not investment advice; no trading or broker routing.,False,growth_optimize,P2,0.0
2026-09-16,2026-09-16,m3_p2_core_rotate,IJT,0.0016243654822334997,satellite,p2_optimized,Research-only; not investment advice; no trading or broker routing.,False,growth_optimize,P2,0.3372453797382976
2026-09-16,2026-09-16,m3_p2_core_rotate,QUAL,0.0016243654822334964,satellite,p2_optimized,Research-only; not investment advice; no trading or broker routing.,False,growth_optimize,P2,0.13489815189531906
2026-09-16,2026-09-16,m3_p2_core_rotate,EEM,0.0016243654822334953,satellite,p2_optimized,Research-only; not investment advice; no trading or broker routing.,False,growth_optimize,P2,0.0
2026-09-16,2026-09-16,m3_p2_core_rotate,GSEW,0.0016243654822334953,satellite,p2_optimized,Research-only; not investment advice; no trading or broker routing.,False,growth_optimize,P2,0.42773105809788425
2026-09-16,2026-09-16,m3_p2_core_rotate,VEA,0.0016243654822334953,satellite,p2_optimized,Research-only; not investment advice; no trading or broker routing.,False,growth_optimize,P2,0.0
2026-09-16,2026-09-16,m3_p2_core_rotate,VLUE,0.0016243654822334953,satellite,p2_optimized,Research-only; not investment advice; no trading or broker routing.,False,growth_optimize,P2,0.0
2026-09-16,2026-09-16,m3_p2_core_rotate,GVIP,0.0006091370558375651,thematic,scoresimple_gated_thematic_on,Research-only; not investment advice; no trading or broker routing.,True,growth_optimize,P2,-0.28839482659702115
2026-09-16,2026-09-16,m3_p2_core_rotate,BBC,0.0006091370558375606,thematic,scoresimple_gated_thematic_on,Research-only; not investment advice; no trading or broker routing.,True,growth_optimize,P2,0.6003619967639114
2026-09-16,2026-09-16,m3_p2_core_rotate,GINN,0.0006091370558375606,thematic,scoresimple_gated_thematic_on,Research-only; not investment advice; no trading or broker routing.,True,growth_optimize,P2,-0.22445077992160253
2026-09-16,2026-09-16,m3_p2_core_rotate,LOUP,0.0006091370558375606,thematic,scoresimple_gated_thematic_on,Research-only; not investment advice; no trading or broker routing.,True,growth_optimize,P2,-0.8176988999180681
2026-09-16,2026-09-16,m3_p2_core_rotate,XBI,0.0006091370558375606,thematic,scoresimple_gated_thematic_on,Research-only; not investment advice; no trading or broker routing.,True,growth_optimize,P2,0.49999329226384914
2026-09-16,2026-09-16,m3_p2_core_rotate,XSD,0.0,thematic,scoresimple_gated_thematic_off,Research-only; not investment advice; no trading or broker routing.,False,growth_optimize,P2,-0.9671932576507136
